tickertime,openprice,closeprice,high,low,predictprice
2019-04-28,5284.85852173,5247.35253746,5311.27468235,5216.48796096,7693.0145784553615
2019-04-27,5271.74639378,5285.13900822,5326.23201477,5255.68374555,7681.08532876372
2019-04-26,5279.47114181,5268.29106346,5310.75014488,5233.63572083,7669.17141661025
2019-04-25,5210.30491981,5279.34821147,5383.63441532,5177.36851375,7657.2728263411855
2019-04-24,5466.52427676,5210.51555862,5542.23830474,5181.33901806,7645.389542314357
2019-04-23,5571.50817669,5464.86664182,5642.04459312,5418.26332858,7633.521548899997
2019-04-22,5399.36570489,5572.36206051,5633.80205461,5389.40888788,7621.668830479551
2019-04-21,5312.49464201,5399.36541009,5422.68742206,5280.27672867,7609.831371446736
2019-04-20,5335.87896599,5314.5314532,5359.92503038,5257.33953186,7598.009156206781
2019-04-19,5304.1605399,5337.8861323,5358.49049306,5295.87771212,7586.202169176804
2019-04-18,5298.15452927,5303.81261613,5336.68000293,5233.33520521,7574.410394785743
2019-04-17,5251.48069196,5298.38569881,5319.98611387,5250.50665911,7562.633817474284
2019-04-16,5236.13523984,5251.93818854,5274.27555335,5219.20559934,7550.872421694805
2019-04-15,5066.57760057,5235.55941893,5238.9452381,5055.19496077,7539.126191911672
2019-04-14,5167.32198286,5067.10847228,5196.60679923,5024.06937381,7527.39511260087
2019-04-13,5095.75863359,5167.72236684,5184.01606396,5053.56858614,7515.679168250114
2019-04-12,5088.84997329,5096.58656276,5127.12209428,5061.58936959,7503.978343358981
2019-04-11,5061.20088735,5089.53891201,5103.27440858,4955.85259984,7492.2926224387065
2019-04-10,5325.08155529,5064.48767243,5354.22546556,5017.29640976,7480.621990012314
2019-04-09,5204.10530845,5324.5518687,5421.65146794,5193.38250879,7468.966430614605
2019-04-08,5289.91798137,5204.95837847,5289.91798137,5167.41905834,7457.325928792033
2019-04-07,5199.83537777,5289.77104039,5318.83648777,5148.21181354,7445.700469102762
2019-04-06,5062.79376134,5198.89699014,5235.1864351,5050.41230153,7434.090036116844
2019-04-05,5036.79302365,5059.81718799,5205.82193076,4992.22200103,7422.494614415788
2019-04-04,4922.80611783,5036.68110011,5053.50997402,4919.49163361,7410.914188593104
2019-04-03,4971.30774104,4922.79878778,5063.1597258,4836.79382246,7399.3487432536895
2019-04-02,4879.95813337,4973.02181522,5307.00360895,4876.62131112,7387.798263014434
2019-04-01,4156.91964324,4879.87782845,4905.95443266,4155.31667828,7376.262732503788
2019-03-31,4105.36242087,4158.18307045,4164.95332383,4096.90125463,7364.742136361762
2019-03-30,4105.45617673,4105.40429618,4113.02361297,4094.10084931,7353.236459240222
2019-03-29,4092.13616358,4106.66008466,4296.8066502,4053.90965067,7341.745685802764
2019-03-28,4068.29989093,4098.37454059,4113.50083216,4034.09716136,7330.269800724469
2019-03-27,4087.584591,4069.10714977,4094.90217427,4040.26644055,7318.808788692141
2019-03-26,3984.24481868,4087.06622992,4087.06622992,3977.81046621,7307.362634404243
2019-03-25,3969.22885592,3985.08080287,3985.08080287,3944.75317214,7295.9313225709475
2019-03-24,4024.11267975,3963.07065416,4038.84089385,3934.03136241,7284.514837914078
2019-03-22,4022.71330744,4035.82635079,4049.88248617,4015.96469723,7261.726289074707
2019-03-21,4028.51456305,4023.96816173,4053.90667736,4021.54243412,7250.354194393877
2019-03-20,4083.95389256,4029.32690706,4097.35995254,4005.15127452,7238.9968658929265
2019-03-19,4070.7940175,4087.47629856,4089.46189246,4031.11074047,7227.654288351736
2019-03-18,4032.69200717,4071.19020004,4082.21601126,4023.81254521,7216.326446561752
2019-03-17,4029.96845808,4032.50738522,4071.55673145,4009.11722623,7205.013325326157
2019-03-16,4047.71957111,4025.22897966,4054.12201368,4006.41114819,7193.714909459748
2019-03-15,3963.90011952,4048.72590374,4077.03628216,3961.6575267,7182.431183788753
2019-03-14,3926.66323109,3960.91118728,3968.54286634,3914.01535654,7171.162133151123
2019-03-13,3905.57699911,3924.369118,3946.50428698,3901.2968769,7159.907742396412
2019-03-12,3913.047443,3906.71716859,3926.59772853,3891.90419153,7148.667996385535
2019-03-11,3903.75829416,3909.15620907,3926.88908293,3863.55909997,7137.442879991349
2019-03-10,3953.74017402,3905.22731979,3966.38473672,3889.23913266,7126.232378097891
2019-03-09,3966.1742332,3951.59982769,3966.1742332,3924.38105934,7115.036475601073
2019-03-08,3894.55252613,3963.31374243,3987.23778458,3892.39046739,7103.855157408095
2019-03-07,3913.22593587,3901.13162355,3950.43223806,3875.22842393,7092.688408437904
2019-03-06,3903.3847998,3911.4842891,3939.37339556,3894.11295638,7081.536213620846
2019-03-05,3897.08106256,3903.9425832,3919.51051824,3871.46059394,7070.398557898947
2019-03-04,3759.83244114,3896.37502308,3903.91675352,3745.18318172,7059.275426225622
2019-03-03,3845.09155774,3761.55701842,3867.38181147,3733.74966077,7048.166803565958
2019-03-02,3862.26616642,3847.17569934,3875.48371414,3836.90573367,7037.072674896421
2019-03-01,3855.31822217,3864.41510673,3874.60748448,3832.12797211,7025.993025205027
2019-02-28,3853.75713203,3859.58375221,3907.79548566,3851.69234979,7014.927839491335
2019-02-27,3848.2620255,3854.78528208,3906.0584282,3845.82138085,7003.877102766445
2019-02-26,3857.47978186,3851.04747978,3888.80258758,3787.05877702,6992.840800052876
2019-02-25,3878.6973183,3854.35793575,3891.57896247,3837.98643789,6981.818916384677
2019-02-24,3807.00244566,3882.69629339,3913.70726513,3807.00244566,6970.811436807256
2019-02-23,4145.45786231,3810.42743065,4210.64175454,3793.70900544,6959.818346377767
2019-02-22,3998.91627262,4142.52692999,4166.28616128,3968.72669838,6948.839630164656
2019-02-21,3952.4063737,4005.52660406,4006.53838667,3950.81642747,6937.875273247769
2019-02-20,4000.25678662,3954.1182433,4010.009483,3940.10818712,6926.925260718573
2019-02-19,3946.68498546,3999.82050882,4000.48629461,3926.24692473,6915.989577679984
2019-02-18,3911.66152075,3947.09440657,4010.87942178,3908.15296756,6905.068209246193
2019-02-17,3671.36998898,3915.71447331,3936.66500089,3669.98232379,6894.161140542996
2019-02-16,3633.35947964,3673.83629289,3680.53728847,3619.18213016,6883.268356707628
2019-02-15,3615.27026725,3629.78749138,3652.84126709,3615.27026725,6872.389842888752
2019-02-14,3617.36836687,3620.81075285,3647.7950639,3608.20643294,6861.525584246291
2019-02-13,3631.17019256,3616.88097021,3646.25659694,3607.69780014,6850.675565951813
2019-02-12,3653.60399078,3632.07060268,3669.74651062,3617.2464285,6839.839773188191
2019-02-11,3642.75185939,3653.52864497,3668.58683348,3618.55692543,6829.018191149769
2019-02-10,3695.61303928,3648.43062774,3695.61303928,3642.28773261,6818.210805042189
2019-02-09,3673.20153682,3690.18824383,3695.03601276,3640.97995463,6807.417600082606
2019-02-08,3671.58595682,3671.20370545,3679.94151048,3646.55933455,6796.638561499525
2019-02-07,3401.37643333,3666.78035061,3695.61397521,3391.02375248,6785.873674532786
2019-02-06,3414.92953864,3399.47164359,3427.94560955,3394.21860755,6775.122924433736
2019-02-05,3469.09170088,3413.7677183,3469.09170088,3398.56538208,6764.386296464998
2019-02-04,3454.9508136,3466.35743916,3478.14811641,3451.93695191,6753.663775900575
2019-02-03,3467.2116661,3459.15414635,3476.22377768,3442.5869204,6742.9553480258
2019-02-02,3516.13956776,3464.01332586,3521.38822007,3447.92431416,6732.260998137541
2019-02-01,3484.62588008,3521.06078726,3523.28733174,3467.57468262,6721.5807115438165
2019-01-31,3460.54712403,3487.94538683,3501.95413455,3431.59149165,6710.914473564123
2019-01-30,3485.40928952,3457.79274724,3504.80488538,3447.91581548,6700.2622695292075
2019-01-29,3443.89706175,3486.18175093,3495.1748876,3429.38794807,6689.624084781176
2019-01-28,3468.87015541,3448.11702209,3476.06536415,3400.81972619,6678.999904673538
2019-01-27,3584.28327917,3470.45054223,3586.75087826,3439.23300929,6668.389714570995
2019-01-26,3604.68726747,3583.96576317,3612.67142766,3567.24575778,6657.793499849804
2019-01-25,3599.7153629,3602.46043861,3654.93319305,3593.34583728,6647.211245897238
2019-01-24,3607.3903841,3599.7658879,3612.92766233,3575.59733314,6636.64293811207
